# abf_path: C:\Users\bbyer\OneDrive\Documents\UniversityofKentucky\BachstetterLab\ephys_toolbox\ephys_toolbox\data\2025_03_06_0000.abf
# stim_intensities: [25, 50, 75, 100, 150, 200, 250, 300, 400, 500, 600]
# sampling_rate: 20000
# first_ps_stimulus: 400
stim_intensity,fv_amp,fv_max_s,fv_max_v,fv_min_s,fv_min_v,epsp_min_s,epsp_min_v,slope_mid_s,slope_mid_v,epsp_amp,epsp_to_fv,epsp_slope,epsp_slope_ms,epsp_r2,ps_present,ps_min_s,ps_min_v,ps_max_s,ps_max_v,ps_amp
25,0.014607747248373926,0.00055,0.003011067546904088,0.0012499999,-0.01159667970146984,0.004799999762326479,-0.01448567723389715,0.004599999636411667,-0.009073892971500755,0.01448567723389715,2084.49466617796,30.44977122411122,0.03044977122411122,0.9170554704255965,False,0.004799999762326479,-0.01448567723389715,,,
50,0.006103515662252903,0.00075,0.01021321615204215,0.0010999999,0.004109700489789247,0.004900000058114529,-0.27364095211029055,0.001999999862164259,-0.04243977881968022,0.27364095211029055,23957.77001213341,146.22662450170918,0.14622662450170917,0.992847744306808,False,0.004900000058114529,-0.27364095211029055,,,
75,0.0753987630456686,0.00055,0.042846679091453545,0.0012499999,-0.03255208395421506,0.004599999636411667,-1.733846025466919,0.0032500000670552254,-1.238850908279419,1.733846025466919,10547.58198798401,795.2746350167685,0.7952746350167684,0.9995986238752447,False,0.004599999636411667,-1.733846025466919,,,
100,0.09322102813050152,0.00055,0.0015869140438735483,0.00115,-0.09163411408662797,0.004299999680370092,-2.485839862823487,0.002749999985098839,-1.3107096481323246,2.485839862823487,11962.03208537983,1115.1129295291548,1.1151129295291549,0.9996853499146388,False,0.004299999680370092,-2.485839862823487,,,
150,0.23763021007180213,0.0005999999,0.043823242932558064,0.0012499999,-0.19380696713924406,0.004049999639391899,-3.278605136871338,0.00215000007301569,-1.0932617235183717,3.278605136871338,7540.756615402248,1791.9115786183677,1.7919115786183677,0.99985716868294,False,0.004049999639391899,-3.278605136871338,,,
200,0.3692219975590706,0.00049999997,0.08325195342302322,0.0013,-0.2859700441360474,0.0036999997682869434,-3.6060384178161624,0.00215000007301569,-1.4495442724227905,3.6060384178161624,6198.518793376614,2288.629490797953,2.288629490797953,0.9998979432393661,False,0.0036999997682869434,-3.6060384178161624,,,
250,0.44600423306226733,0.00055,0.11751302212476733,0.0013,-0.3284912109375,0.0035500000230968,-3.889078760147095,0.0021000001579523087,-1.5959879541397095,3.889078760147095,5998.176130104815,2675.2119446797965,2.6752119446797966,0.9999241728803603,False,0.0035500000230968,-3.889078760147095,,,
300,0.5689697265625,0.00044999993,0.13256836056709292,0.0013,-0.43640136599540713,0.003399999812245369,-4.066772489547731,0.00204999977722764,-1.7224121046066285,4.066772489547731,5195.40345730091,2956.027284482366,2.9560272844823663,0.9999601565680917,False,0.003399999812245369,-4.066772489547731,,,
400,0.7076008957624437,0.00044999993,0.17769368350505832,0.0012499999,-0.5299072122573854,0.0032500000670552254,-4.3849283218383786,0.001999999862164259,-1.9079183244705202,4.3849283218383786,4851.043210490799,3432.6025211256097,3.4326025211256095,0.9998801147006798,True,0.0032500000670552254,-4.3849283218383786,0.0044999998062849045,-3.1537272548675546,1.231201066970824
500,0.8496500658988955,0.0003999999,0.22066243171691896,0.0011999999,-0.6289876341819765,0.0030999998562037945,-4.551432247161865,0.0019500000635161996,-1.9259846925735475,4.551432247161865,4390.098122205096,3730.047158834177,3.730047158834177,0.9998169943189306,True,0.0030999998562037945,-4.551432247161865,0.004299999680370092,-3.088785800933838,1.4626464462280273
600,0.9206136077642442,0.00044999993,0.23128255069255832,0.00115,-0.6893310570716858,0.003000000026077032,-4.678181991577149,0.001999999862164259,-2.311523451805115,4.678181991577149,4217.383534184157,3882.580670730795,3.8825806707307953,0.9999227649684337,True,0.003000000026077032,-4.678181991577149,0.004149999935179949,-2.9832763671875,1.6949056243896488
